Student ID,Quarter,Period,Total School Days,Days Present,Days Absent,Days Tardy,Attendance Rate (%),Chronic Absentee (>10%)
STU0001,Q1,Q1 2023,45,40,5,1,88.9,Yes
STU0001,Q2,Q2 2023,45,40,5,1,88.9,Yes
STU0001,Q3,Q3 2023,45,42,3,1,93.3,No
STU0001,Q4,Q4 2023,45,40,5,2,88.9,Yes
STU0002,Q1,Q1 2023,45,40,5,2,88.9,Yes
STU0002,Q2,Q2 2023,45,41,4,2,91.1,No
STU0002,Q3,Q3 2023,45,42,3,0,93.3,No
STU0002,Q4,Q4 2023,45,41,4,1,91.1,No
STU0003,Q1,Q1 2023,45,43,2,0,95.6,No
STU0003,Q2,Q2 2023,45,44,1,0,97.8,No
STU0003,Q3,Q3 2023,45,45,0,0,100,No
STU0003,Q4,Q4 2023,45,44,1,0,97.8,No
STU0004,Q1,Q1 2023,45,43,2,1,95.6,No
STU0004,Q2,Q2 2023,45,43,2,0,95.6,No
STU0004,Q3,Q3 2023,45,42,3,0,93.3,No
STU0004,Q4,Q4 2023,45,44,1,0,97.8,No
STU0005,Q1,Q1 2023,45,33,12,4,73.3,Yes
STU0005,Q2,Q2 2023,45,33,12,3,73.3,Yes
STU0005,Q3,Q3 2023,45,33,12,5,73.3,Yes
STU0005,Q4,Q4 2023,45,31,14,5,68.9,Yes
STU0006,Q1,Q1 2023,45,44,1,0,97.8,No
STU0006,Q2,Q2 2023,45,42,3,0,93.3,No
STU0006,Q3,Q3 2023,45,42,3,1,93.3,No
STU0006,Q4,Q4 2023,45,43,2,1,95.6,No
STU0007,Q1,Q1 2023,45,44,1,0,97.8,No
STU0007,Q2,Q2 2023,45,45,0,0,100,No
STU0007,Q3,Q3 2023,45,43,2,1,95.6,No
STU0007,Q4,Q4 2023,45,42,3,0,93.3,No
STU0008,Q1,Q1 2023,45,42,3,0,93.3,No
STU0008,Q2,Q2 2023,45,42,3,1,93.3,No
STU0008,Q3,Q3 2023,45,41,4,1,91.1,No
STU0008,Q4,Q4 2023,45,43,2,0,95.6,No
STU0009,Q1,Q1 2023,45,42,3,0,93.3,No
STU0009,Q2,Q2 2023,45,42,3,0,93.3,No
STU0009,Q3,Q3 2023,45,42,3,0,93.3,No
STU0009,Q4,Q4 2023,45,42,3,0,93.3,No
STU0010,Q1,Q1 2023,45,41,4,1,91.1,No
STU0010,Q2,Q2 2023,45,39,6,0,86.7,Yes
STU0010,Q3,Q3 2023,45,40,5,2,88.9,Yes
STU0010,Q4,Q4 2023,45,39,6,0,86.7,Yes
STU0011,Q1,Q1 2023,45,45,0,0,100,No
STU0011,Q2,Q2 2023,45,45,0,0,100,No
STU0011,Q3,Q3 2023,45,45,0,0,100,No
STU0011,Q4,Q4 2023,45,45,0,0,100,No
STU0012,Q1,Q1 2023,45,41,4,0,91.1,No
STU0012,Q2,Q2 2023,45,41,4,0,91.1,No
STU0012,Q3,Q3 2023,45,40,5,2,88.9,Yes
STU0012,Q4,Q4 2023,45,40,5,2,88.9,Yes
STU0013,Q1,Q1 2023,45,38,7,1,84.4,Yes
STU0013,Q2,Q2 2023,45,38,7,3,84.4,Yes
STU0013,Q3,Q3 2023,45,37,8,0,82.2,Yes
STU0013,Q4,Q4 2023,45,37,8,3,82.2,Yes
STU0014,Q1,Q1 2023,45,39,6,2,86.7,Yes
STU0014,Q2,Q2 2023,45,40,5,2,88.9,Yes
STU0014,Q3,Q3 2023,45,41,4,2,91.1,No
STU0014,Q4,Q4 2023,45,41,4,0,91.1,No
STU0015,Q1,Q1 2023,45,41,4,1,91.1,No
STU0015,Q2,Q2 2023,45,41,4,2,91.1,No
STU0015,Q3,Q3 2023,45,41,4,1,91.1,No
STU0015,Q4,Q4 2023,45,40,5,2,88.9,Yes
STU0016,Q1,Q1 2023,45,44,1,0,97.8,No
STU0016,Q2,Q2 2023,45,44,1,0,97.8,No
STU0016,Q3,Q3 2023,45,44,1,0,97.8,No
STU0016,Q4,Q4 2023,45,43,2,1,95.6,No
STU0017,Q1,Q1 2023,45,35,10,3,77.8,Yes
STU0017,Q2,Q2 2023,45,38,7,1,84.4,Yes
STU0017,Q3,Q3 2023,45,37,8,2,82.2,Yes
STU0017,Q4,Q4 2023,45,37,8,4,82.2,Yes
STU0018,Q1,Q1 2023,45,41,4,1,91.1,No
STU0018,Q2,Q2 2023,45,40,5,1,88.9,Yes
STU0018,Q3,Q3 2023,45,41,4,1,91.1,No
STU0018,Q4,Q4 2023,45,40,5,1,88.9,Yes
STU0019,Q1,Q1 2023,45,44,1,0,97.8,No
STU0019,Q2,Q2 2023,45,42,3,0,93.3,No
STU0019,Q3,Q3 2023,45,45,0,0,100,No
STU0019,Q4,Q4 2023,45,44,1,0,97.8,No
STU0020,Q1,Q1 2023,45,39,6,2,86.7,Yes
STU0020,Q2,Q2 2023,45,39,6,0,86.7,Yes
STU0020,Q3,Q3 2023,45,38,7,3,84.4,Yes
STU0020,Q4,Q4 2023,45,40,5,1,88.9,Yes
STU0021,Q1,Q1 2023,45,43,2,0,95.6,No
STU0021,Q2,Q2 2023,45,42,3,0,93.3,No
STU0021,Q3,Q3 2023,45,42,3,1,93.3,No
STU0021,Q4,Q4 2023,45,44,1,0,97.8,No
STU0022,Q1,Q1 2023,45,40,5,0,88.9,Yes
STU0022,Q2,Q2 2023,45,42,3,1,93.3,No
STU0022,Q3,Q3 2023,45,40,5,1,88.9,Yes
STU0022,Q4,Q4 2023,45,39,6,1,86.7,Yes
STU0023,Q1,Q1 2023,45,44,1,0,97.8,No
STU0023,Q2,Q2 2023,45,45,0,0,100,No
STU0023,Q3,Q3 2023,45,44,1,0,97.8,No
STU0023,Q4,Q4 2023,45,44,1,0,97.8,No
STU0024,Q1,Q1 2023,45,42,3,1,93.3,No
STU0024,Q2,Q2 2023,45,43,2,0,95.6,No
STU0024,Q3,Q3 2023,45,43,2,1,95.6,No
STU0024,Q4,Q4 2023,45,44,1,0,97.8,No
STU0025,Q1,Q1 2023,45,45,0,0,100,No
STU0025,Q2,Q2 2023,45,44,1,0,97.8,No
STU0025,Q3,Q3 2023,45,45,0,0,100,No
STU0025,Q4,Q4 2023,45,45,0,0,100,No
STU0026,Q1,Q1 2023,45,43,2,0,95.6,No
STU0026,Q2,Q2 2023,45,43,2,1,95.6,No
STU0026,Q3,Q3 2023,45,44,1,0,97.8,No
STU0026,Q4,Q4 2023,45,44,1,0,97.8,No
STU0027,Q1,Q1 2023,45,37,8,2,82.2,Yes
STU0027,Q2,Q2 2023,45,36,9,0,80,Yes
STU0027,Q3,Q3 2023,45,37,8,2,82.2,Yes
STU0027,Q4,Q4 2023,45,36,9,1,80,Yes
STU0028,Q1,Q1 2023,45,44,1,0,97.8,No
STU0028,Q2,Q2 2023,45,44,1,0,97.8,No
STU0028,Q3,Q3 2023,45,41,4,1,91.1,No
STU0028,Q4,Q4 2023,45,42,3,1,93.3,No
STU0029,Q1,Q1 2023,45,35,10,5,77.8,Yes
STU0029,Q2,Q2 2023,45,36,9,1,80,Yes
STU0029,Q3,Q3 2023,45,37,8,3,82.2,Yes
STU0029,Q4,Q4 2023,45,35,10,3,77.8,Yes
STU0030,Q1,Q1 2023,45,39,6,0,86.7,Yes
STU0030,Q2,Q2 2023,45,39,6,0,86.7,Yes
STU0030,Q3,Q3 2023,45,40,5,0,88.9,Yes
STU0030,Q4,Q4 2023,45,40,5,1,88.9,Yes
STU0031,Q1,Q1 2023,45,43,2,0,95.6,No
STU0031,Q2,Q2 2023,45,44,1,0,97.8,No
STU0031,Q3,Q3 2023,45,43,2,1,95.6,No
STU0031,Q4,Q4 2023,45,43,2,0,95.6,No
STU0032,Q1,Q1 2023,45,42,3,1,93.3,No
STU0032,Q2,Q2 2023,45,42,3,0,93.3,No
STU0032,Q3,Q3 2023,45,39,6,2,86.7,Yes
STU0032,Q4,Q4 2023,45,41,4,0,91.1,No
STU0033,Q1,Q1 2023,45,40,5,0,88.9,Yes
STU0033,Q2,Q2 2023,45,38,7,1,84.4,Yes
STU0033,Q3,Q3 2023,45,40,5,1,88.9,Yes
STU0033,Q4,Q4 2023,45,40,5,2,88.9,Yes
STU0034,Q1,Q1 2023,45,41,4,2,91.1,No
STU0034,Q2,Q2 2023,45,42,3,1,93.3,No
STU0034,Q3,Q3 2023,45,43,2,0,95.6,No
STU0034,Q4,Q4 2023,45,43,2,0,95.6,No
STU0035,Q1,Q1 2023,45,40,5,1,88.9,Yes
STU0035,Q2,Q2 2023,45,40,5,2,88.9,Yes
STU0035,Q3,Q3 2023,45,40,5,2,88.9,Yes
STU0035,Q4,Q4 2023,45,38,7,0,84.4,Yes
STU0036,Q1,Q1 2023,45,45,0,0,100,No
STU0036,Q2,Q2 2023,45,45,0,0,100,No
STU0036,Q3,Q3 2023,45,45,0,0,100,No
STU0036,Q4,Q4 2023,45,45,0,0,100,No
STU0037,Q1,Q1 2023,45,37,8,0,82.2,Yes
STU0037,Q2,Q2 2023,45,38,7,2,84.4,Yes
STU0037,Q3,Q3 2023,45,39,6,1,86.7,Yes
STU0037,Q4,Q4 2023,45,38,7,3,84.4,Yes
STU0038,Q1,Q1 2023,45,39,6,1,86.7,Yes
STU0038,Q2,Q2 2023,45,38,7,0,84.4,Yes
STU0038,Q3,Q3 2023,45,39,6,2,86.7,Yes
STU0038,Q4,Q4 2023,45,38,7,0,84.4,Yes
STU0039,Q1,Q1 2023,45,44,1,0,97.8,No
STU0039,Q2,Q2 2023,45,44,1,0,97.8,No
STU0039,Q3,Q3 2023,45,44,1,0,97.8,No
STU0039,Q4,Q4 2023,45,44,1,0,97.8,No
STU0040,Q1,Q1 2023,45,44,1,0,97.8,No
STU0040,Q2,Q2 2023,45,45,0,0,100,No
STU0040,Q3,Q3 2023,45,44,1,0,97.8,No
STU0040,Q4,Q4 2023,45,43,2,0,95.6,No
STU0041,Q1,Q1 2023,45,44,1,0,97.8,No
STU0041,Q2,Q2 2023,45,44,1,0,97.8,No
STU0041,Q3,Q3 2023,45,42,3,1,93.3,No
STU0041,Q4,Q4 2023,45,43,2,0,95.6,No
STU0042,Q1,Q1 2023,45,40,5,2,88.9,Yes
STU0042,Q2,Q2 2023,45,40,5,2,88.9,Yes
STU0042,Q3,Q3 2023,45,40,5,2,88.9,Yes
STU0042,Q4,Q4 2023,45,40,5,0,88.9,Yes
STU0043,Q1,Q1 2023,45,42,3,1,93.3,No
STU0043,Q2,Q2 2023,45,43,2,0,95.6,No
STU0043,Q3,Q3 2023,45,42,3,0,93.3,No
STU0043,Q4,Q4 2023,45,42,3,1,93.3,No
STU0044,Q1,Q1 2023,45,33,12,4,73.3,Yes
STU0044,Q2,Q2 2023,45,33,12,2,73.3,Yes
STU0044,Q3,Q3 2023,45,34,11,5,75.6,Yes
STU0044,Q4,Q4 2023,45,35,10,1,77.8,Yes
STU0045,Q1,Q1 2023,45,39,6,3,86.7,Yes
STU0045,Q2,Q2 2023,45,40,5,2,88.9,Yes
STU0045,Q3,Q3 2023,45,40,5,1,88.9,Yes
STU0045,Q4,Q4 2023,45,40,5,2,88.9,Yes
STU0046,Q1,Q1 2023,45,36,9,1,80,Yes
STU0046,Q2,Q2 2023,45,36,9,1,80,Yes
STU0046,Q3,Q3 2023,45,36,9,0,80,Yes
STU0046,Q4,Q4 2023,45,35,10,5,77.8,Yes
STU0047,Q1,Q1 2023,45,43,2,1,95.6,No
STU0047,Q2,Q2 2023,45,43,2,0,95.6,No
STU0047,Q3,Q3 2023,45,42,3,1,93.3,No
STU0047,Q4,Q4 2023,45,43,2,0,95.6,No
STU0048,Q1,Q1 2023,45,43,2,0,95.6,No
STU0048,Q2,Q2 2023,45,42,3,0,93.3,No
STU0048,Q3,Q3 2023,45,43,2,0,95.6,No
STU0048,Q4,Q4 2023,45,44,1,0,97.8,No
STU0049,Q1,Q1 2023,45,42,3,1,93.3,No
STU0049,Q2,Q2 2023,45,42,3,1,93.3,No
STU0049,Q3,Q3 2023,45,43,2,1,95.6,No
STU0049,Q4,Q4 2023,45,44,1,0,97.8,No
