Student ID,Quarter,Period,Incident Type,Action Taken,Incident Count
STU0001,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0001,Q1,Q1 2023,Disrespect,Conference,1
STU0001,Q1,Q1 2023,Phone Violation,Parent Contact,1
STU0001,Q2,Q2 2023,Horseplay,Conference,1
STU0001,Q2,Q2 2023,Horseplay,Parent Contact,1
STU0001,Q2,Q2 2023,Refusal to Work,Conference,1
STU0001,Q3,Q3 2023,Conflict,Lunch Detention,1
STU0001,Q3,Q3 2023,Phone Violation,Lunch Detention,1
STU0001,Q3,Q3 2023,Phone Violation,Conference,1
STU0001,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0001,Q3,Q3 2023,Conflict,Conference,1
STU0001,Q4,Q4 2023,Horseplay,Office Referral,1
STU0002,Q1,Q1 2023,Disruption,Lunch Detention,1
STU0002,Q1,Q1 2023,Horseplay,Warning,1
STU0002,Q1,Q1 2023,Refusal to Work,Conference,1
STU0002,Q1,Q1 2023,Horseplay,Warning,1
STU0002,Q2,Q2 2023,Phone Violation,Office Referral,1
STU0003,Q1,Q1 2023,Horseplay,Conference,1
STU0004,Q1,Q1 2023,Phone Violation,Parent Contact,1
STU0004,Q2,Q2 2023,Conflict,Warning,1
STU0005,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0005,Q4,Q4 2023,Disrespect,Conference,1
STU0006,Q1,Q1 2023,Conflict,Conference,1
STU0006,Q3,Q3 2023,Refusal to Work,Parent Contact,1
STU0007,Q1,Q1 2023,Conflict,Parent Contact,1
STU0007,Q3,Q3 2023,Disruption,Conference,1
STU0007,Q4,Q4 2023,Conflict,Warning,1
STU0007,Q4,Q4 2023,Disrespect,Warning,1
STU0010,Q1,Q1 2023,Refusal to Work,Lunch Detention,1
STU0010,Q3,Q3 2023,Refusal to Work,Parent Contact,1
STU0010,Q4,Q4 2023,Refusal to Work,Parent Contact,1
STU0010,Q4,Q4 2023,Refusal to Work,Conference,1
STU0011,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0011,Q1,Q1 2023,Conflict,Warning,1
STU0011,Q3,Q3 2023,Conflict,Parent Contact,1
STU0011,Q3,Q3 2023,Phone Violation,Parent Contact,1
STU0011,Q3,Q3 2023,Phone Violation,Lunch Detention,1
STU0012,Q1,Q1 2023,Conflict,Office Referral,1
STU0012,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0012,Q1,Q1 2023,Horseplay,Parent Contact,1
STU0012,Q2,Q2 2023,Refusal to Work,Conference,1
STU0012,Q2,Q2 2023,Horseplay,Conference,1
STU0012,Q2,Q2 2023,Horseplay,Lunch Detention,1
STU0012,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0012,Q3,Q3 2023,Disrespect,Parent Contact,1
STU0013,Q2,Q2 2023,Horseplay,Conference,1
STU0014,Q1,Q1 2023,Horseplay,Parent Contact,1
STU0014,Q1,Q1 2023,Horseplay,Lunch Detention,1
STU0014,Q1,Q1 2023,Conflict,Parent Contact,1
STU0014,Q1,Q1 2023,Conflict,Office Referral,1
STU0014,Q2,Q2 2023,Horseplay,Office Referral,1
STU0014,Q2,Q2 2023,Horseplay,Conference,1
STU0014,Q2,Q2 2023,Conflict,Lunch Detention,1
STU0014,Q3,Q3 2023,Horseplay,Warning,1
STU0014,Q3,Q3 2023,Phone Violation,Conference,1
STU0014,Q4,Q4 2023,Refusal to Work,Office Referral,1
STU0014,Q4,Q4 2023,Horseplay,Parent Contact,1
STU0014,Q4,Q4 2023,Horseplay,Warning,1
STU0014,Q4,Q4 2023,Horseplay,Warning,1
STU0014,Q4,Q4 2023,Horseplay,Office Referral,1
STU0016,Q1,Q1 2023,Conflict,Lunch Detention,1
STU0016,Q1,Q1 2023,Conflict,Office Referral,1
STU0016,Q1,Q1 2023,Disrespect,Parent Contact,1
STU0016,Q2,Q2 2023,Phone Violation,Lunch Detention,1
STU0016,Q4,Q4 2023,Phone Violation,Lunch Detention,1
STU0017,Q1,Q1 2023,Disrespect,Warning,1
STU0017,Q2,Q2 2023,Phone Violation,Conference,1
STU0017,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0017,Q2,Q2 2023,Disruption,Conference,1
STU0017,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0017,Q3,Q3 2023,Disruption,Warning,1
STU0018,Q1,Q1 2023,Refusal to Work,Lunch Detention,1
STU0018,Q1,Q1 2023,Conflict,Office Referral,1
STU0018,Q2,Q2 2023,Disruption,Parent Contact,1
STU0018,Q3,Q3 2023,Disruption,Conference,1
STU0018,Q3,Q3 2023,Disrespect,Office Referral,1
STU0018,Q4,Q4 2023,Conflict,Office Referral,1
STU0018,Q4,Q4 2023,Refusal to Work,Parent Contact,1
STU0019,Q3,Q3 2023,Horseplay,Lunch Detention,1
STU0019,Q3,Q3 2023,Horseplay,Warning,1
STU0020,Q1,Q1 2023,Disruption,Conference,1
STU0020,Q1,Q1 2023,Disrespect,Conference,1
STU0020,Q2,Q2 2023,Conflict,Warning,1
STU0020,Q2,Q2 2023,Disrespect,Office Referral,1
STU0020,Q2,Q2 2023,Disrespect,Warning,1
STU0020,Q2,Q2 2023,Refusal to Work,Office Referral,1
